εμείς we
δωμάτιο room
φίλος friend
άρχισε began
ιδέα idea
ψάρι fish
βουνό mountain
στάση stop
μια φορά once
βάση base
ακούστε hear
άλογο horse
κόψιμο cut
βέβαιος sure
χρώμα color
πρόσωπο face
ξύλο wood
κύρια main
ανοιχτή open
φαίνεται seem
μαζί together
επόμενος next
λευκό white
παιδιά children
αρχίσει begin
πήρε got
με τα πόδια walk
παράδειγμα example
ευκολία ease
χαρτί paper
ομάδα group
πάντοτε always
μουσική music
εκείνοι those
δύο both
σήμα mark
συχνά often
γράμμα letter
μέχρι until
μίλι mile
ποτάμι river
αυτοκίνητο car
πόδια feet
φροντίδα care
δεύτερη second
αρκετά enough
απλό plain
κορίτσι girl
συνήθεις usual
νέους young
έτοιμο ready
παραπάνω above
πάντα ever
κόκκινο red
λίστα list
αν though
αισθάνονται feel
Συζήτηση talk
πουλί bird
σύντομα soon
σώμα body
σκύλος dog
οικογένεια family
απευθείας direct
ενέχουν pose
αφήστε leave
τραγούδι song
μέτρο measure
πόρτα door
προϊόν product
μαύρο black
σύντομο short
αριθμητικό numeral
κατηγορία class
άνεμος wind
ερώτηση question
συμβεί happen
πλήρης complete
πλοίο ship
έκταση area
ήμισυ half
βράχος rock
για order
φωτιά fire
νότια south
πρόβλημα problem
κομμάτι piece
είπε told
ήξερε knew
περάσει pass
από since
κορυφή top
ολόκληρο whole
βασιλιά king
δρόμος street
ιντσών inch
πολλαπλασιάστε multiply
τίποτα nothing
πορεία course
μείνετε stay
τροχός wheel
πλήρους full
δύναμη force
μπλε blue
αντικείμενο object
αποφασίζει decide
επιφάνεια surface
βαθιά deep
φεγγάρι moon
νησί island
πόδι foot
σύστημα system
απασχολημένος busy
δοκιμή test
ρεκόρ record
βάρκα boat
κοινός common
χρυσό gold
δυνατός possible
αεροπλάνο plane
ξηρό dry
αναρωτιέμαι wonder
γέλιο laugh
χιλιάδες thousand
πριν ago
έτρεξε ran
έλεγχος check
παιχνίδι game
σχήμα shape
εξισώνουν equate
ζεστό hot
δεσποινίς miss
έφερε brought
θερμότητα heat
χιόνι snow
ελαστικών tire
φέρω bring
ναί yes
μακρινές distant
συμπληρώστε fill
ανατολικά east
ζωγραφίσει paint
γλώσσα language
μεταξύ among
μονάδα unit
δύναμη power
πόλη town
πρόστιμο fine
ορισμένες certain
πετάξει fly
πτώση fall
οδηγήσει lead
κραυγή cry
σκούρο dark
μηχανή machine
σημείωση note
περιμένετε wait
σχέδιο plan
εικόνα figure
αστέρι star
κουτί box
όνομα noun
τομέα field
ανάπαυση rest
σωστός correct
θέση able
λίρα pound
done done
ομορφιά beauty
drive drive
στάθηκε stood
περιέχουν contain
μπροστά front
διδάξουν teach
εβδομάδα week
τελικό final
έδωσε gave
πράσινος green
αμάν oh
γρήγορα quick
ανάπτυξη develop
ωκεανός ocean
ζεστό warm
δωρεάν free
λεπτό minute
ισχυρή strong
ειδικός special
νου mind
πίσω behind
σαφής clear
ουρά tail
παράγουν produce
γεγονός fact
χώρο space
ακούσει heard
καλύτερο best
ώρα hour
καλύτερη better
αληθής true
κατά τη διάρκεια της during
εκατό hundred
πέντε five
θυμηθείτε remember
βήμα step
νωρίς early
κρατήστε hold
δυτικά west
έδαφος ground
ενδιαφέρον interest
φτάσουν reach
γρήγορα fast
ρήμα verb
τραγουδώ sing
ακούστε listen
έξι six
τραπέζι table
ταξίδι travel
λιγότερο less
πρωί morning
δέκα ten
απλό simple
αρκετές several
φωνήεν vowel
προς toward
πόλεμο war
θέσει lay
κατά against
μοτίβο pattern
αργή slow
κέντρο center
αγάπη love
πρόσωπο person
χρήματα money
εξυπηρετούν serve
εμφανίζονται appear
δρόμος road
χάρτης map
βροχή rain
κανόνας rule
διέπουν govern
τραβήξτε pull
κρύο cold
ειδοποίηση notice
φωνή voice
ενέργεια energy
κυνήγι hunt
πιθανή probable
κρεβάτι bed
Ο αδελφός brother
αυγό egg
βόλτα ride
κυττάρων cell
πιστεύουμε believe
ίσως perhaps
επιλέξτε pick
ξαφνική sudden
μετράνε count
πλατεία square
λόγος reason
μήκος length
εκπροσωπώ represent
τέχνη art
θέμα subject
περιοχή region
μέγεθος size
ποικίλλουν vary
εγκατασταθούν settle
μιλούν speak
βάρος weight
γενικές general
πάγος ice
θέμα matter
κύκλο circle
ζεύγος pair
περιλαμβάνουν include
χάσματος divide
συλλαβή syllable
αισθάνθηκε felt
grand grand
μπάλα ball
ακόμη yet
κύμα wave
πτώση drop
καρδιά heart
είμαι am
παρόν present
βαριά heavy
χορού dance
κινητήρας engine
θέση position
μπράτσο arm
ευρύ wide
ιστίο sail
υλικό material
κλάσμα fraction
δάσος forest
καθίσει sit
φυλή race
παράθυρο window
κατάστημα store
καλοκαίρι summer
τρένο train
ύπνου sleep
